
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-04 16:25:52 /css/app.css ....................................................................... ~ 553.53ms
  2026-04-04 16:25:52 /images/logo-sidebar.png ........................................................... ~ 581.76ms
  2026-04-04 16:25:53 /js/pwa.js .......................................................................... ~ 47.79ms
  2026-04-04 16:25:53 /sw.js ............................................................................... ~ 0.29ms
  2026-04-04 16:25:53 / .................................................................................... ~ 0.19ms
  2026-04-04 16:25:53 /offline ........................................................................... ~ 551.72ms
  2026-04-04 16:25:53 /css/app.css ....................................................................... ~ 550.19ms
  2026-04-04 16:25:53 /manifest.json ...................................................................... ~ 32.72ms
  2026-04-04 16:25:53 ..................................................................................... ~ 61.73ms
  2026-04-04 16:25:53 .................................................................................... ~ 108.10ms
  2026-04-04 16:26:16 / .................................................................................... ~ 0.59ms
  2026-04-04 16:26:16 /login ............................................................................. ~ 501.56ms
  2026-04-04 16:26:16 / .................................................................................... ~ 0.20ms
  2026-04-04 16:26:16 /login ............................................................................. ~ 515.69ms
  2026-04-04 16:26:19 /admin/login ......................................................................... ~ 1.97ms
  2026-04-04 16:26:19 /css/app.css ......................................................................... ~ 0.33ms
  2026-04-04 16:26:19 /js/pwa.js .......................................................................... ~ 26.99ms
  2026-04-04 16:26:20 /sw.js ............................................................................... ~ 0.72ms
  2026-04-04 16:26:20 / .................................................................................. ~ 515.26ms
  2026-04-04 16:26:20 /offline ........................................................................... ~ 550.66ms
  2026-04-04 16:26:21 /admin/login ....................................................................... ~ 509.99ms
  2026-04-04 16:26:21 /login ............................................................................. ~ 536.52ms
  2026-04-04 16:26:20 /css/app.css ....................................................................... ~ 600.52ms
  2026-04-04 16:26:21 /internal .......................................................................... ~ 519.08ms
  2026-04-04 16:26:21 /manifest.json ..................................................................... ~ 608.94ms
  2026-04-04 16:26:21 /css/app.css ....................................................................... ~ 576.21ms
  2026-04-04 16:26:22 /images/logo-sidebar.png ............................................................ ~ 28.90ms
  2026-04-04 16:26:22 /js/pwa.js .......................................................................... ~ 48.02ms
  2026-04-04 16:26:22 /sw.js ............................................................................... ~ 0.23ms
  2026-04-04 16:26:22 / .................................................................................. ~ 516.40ms
  2026-04-04 16:26:22 /offline ........................................................................... ~ 552.87ms
  2026-04-04 16:26:22 /css/app.css ........................................................................ ~ 33.84ms
  2026-04-04 16:26:22 /manifest.json ...................................................................... ~ 32.41ms
  2026-04-04 16:26:22 /internal/reports .................................................................. ~ 569.53ms
  2026-04-04 16:26:22 /css/app.css ....................................................................... ~ 594.15ms
  2026-04-04 16:26:23 /images/logo-sidebar.png ............................................................ ~ 30.73ms
  2026-04-04 16:26:23 /js/pwa.js .......................................................................... ~ 52.73ms
  2026-04-04 16:26:23 /sw.js ............................................................................... ~ 0.21ms
  2026-04-04 16:26:23 / .................................................................................... ~ 0.21ms
  2026-04-04 16:26:23 /offline ........................................................................... ~ 549.90ms
